team,points,pos,season
Manchester City,98,1,2018-2019
Liverpool,97,2,2018-2019
Chelsea,72,3,2018-2019
Tottenham,71,4,2018-2019
Arsenal,70,5,2018-2019
Manchester Utd,66,6,2018-2019
Wolves,57,7,2018-2019
Everton,54,8,2018-2019
Leicester City,52,9,2018-2019
West Ham,52,10,2018-2019
Watford,50,11,2018-2019
Crystal Palace,49,12,2018-2019
Newcastle Utd,45,13,2018-2019
Bournemouth,45,14,2018-2019
Burnley,40,15,2018-2019
Southampton,39,16,2018-2019
Brighton,36,17,2018-2019
Cardiff City,34,18,2018-2019
Fulham,26,19,2018-2019
Huddersfield,16,20,2018-2019
Liverpool,99,1,2019-2020
Manchester City,81,2,2019-2020
Manchester Utd,66,3,2019-2020
Chelsea,66,4,2019-2020
Leicester City,62,5,2019-2020
Tottenham,59,6,2019-2020
Wolves,59,7,2019-2020
Arsenal,56,8,2019-2020
Sheffield Utd,54,9,2019-2020
Burnley,54,10,2019-2020
Southampton,52,11,2019-2020
Everton,49,12,2019-2020
Newcastle Utd,44,13,2019-2020
Crystal Palace,43,14,2019-2020
Brighton,41,15,2019-2020
West Ham,39,16,2019-2020
Aston Villa,35,17,2019-2020
Bournemouth,34,18,2019-2020
Watford,34,19,2019-2020
Norwich City,21,20,2019-2020
Manchester City,86,1,2020-2021
Manchester Utd,74,2,2020-2021
Liverpool,69,3,2020-2021
Chelsea,67,4,2020-2021
Leicester City,66,5,2020-2021
West Ham,65,6,2020-2021
Tottenham,62,7,2020-2021
Arsenal,61,8,2020-2021
Leeds United,59,9,2020-2021
Everton,59,10,2020-2021
Aston Villa,55,11,2020-2021
Newcastle Utd,45,12,2020-2021
Wolves,45,13,2020-2021
Crystal Palace,44,14,2020-2021
Southampton,43,15,2020-2021
Brighton,41,16,2020-2021
Burnley,39,17,2020-2021
Fulham,28,18,2020-2021
West Brom,26,19,2020-2021
Sheffield Utd,23,20,2020-2021
Manchester City,93,1,2021-2022
Liverpool,92,2,2021-2022
Chelsea,74,3,2021-2022
Tottenham,71,4,2021-2022
Arsenal,69,5,2021-2022
Manchester Utd,58,6,2021-2022
West Ham,56,7,2021-2022
Leicester City,52,8,2021-2022
Brighton,51,9,2021-2022
Wolves,51,10,2021-2022
Newcastle Utd,49,11,2021-2022
Crystal Palace,48,12,2021-2022
Brentford,46,13,2021-2022
Aston Villa,45,14,2021-2022
Southampton,40,15,2021-2022
Everton,39,16,2021-2022
Leeds United,38,17,2021-2022
Burnley,35,18,2021-2022
Watford,23,19,2021-2022
Norwich City,22,20,2021-2022
Manchester City,89,1,2022-2023
Arsenal,84,2,2022-2023
Manchester Utd,75,3,2022-2023
Newcastle Utd,71,4,2022-2023
Liverpool,67,5,2022-2023
Brighton,62,6,2022-2023
Aston Villa,61,7,2022-2023
Tottenham,60,8,2022-2023
Brentford,59,9,2022-2023
Fulham,52,10,2022-2023
Crystal Palace,45,11,2022-2023
Chelsea,44,12,2022-2023
Wolves,41,13,2022-2023
West Ham,40,14,2022-2023
Bournemouth,39,15,2022-2023
Nott'ham Forest,38,16,2022-2023
Everton,36,17,2022-2023
Leicester City,34,18,2022-2023
Leeds United,31,19,2022-2023
Southampton,25,20,2022-2023
Manchester City,91,1,2023-2024
Arsenal,89,2,2023-2024
Liverpool,82,3,2023-2024
Aston Villa,68,4,2023-2024
Tottenham,66,5,2023-2024
Chelsea,63,6,2023-2024
Newcastle Utd,60,7,2023-2024
Manchester Utd,60,8,2023-2024
West Ham,52,9,2023-2024
Crystal Palace,49,10,2023-2024
Brighton,48,11,2023-2024
Bournemouth,48,12,2023-2024
Fulham,47,13,2023-2024
Wolves,46,14,2023-2024
Everton,40,15,2023-2024
Brentford,39,16,2023-2024
Nott'ham Forest,32,17,2023-2024
Luton Town,26,18,2023-2024
Burnley,24,19,2023-2024
Sheffield Utd,16,20,2023-2024
