team,points,pos,season,won_next,tm_team
Manchester City,98,1,2018-2019,0,
Liverpool,97,2,2018-2019,1,
Chelsea,72,3,2018-2019,0,
Tottenham,71,4,2018-2019,0,
Arsenal,70,5,2018-2019,0,
Manchester Utd,66,6,2018-2019,0,
Wolves,57,7,2018-2019,0,
Everton,54,8,2018-2019,0,
Leicester City,52,9,2018-2019,0,
West Ham,52,10,2018-2019,0,
Watford,50,11,2018-2019,0,
Crystal Palace,49,12,2018-2019,0,
Newcastle Utd,45,13,2018-2019,0,
Bournemouth,45,14,2018-2019,0,
Burnley,40,15,2018-2019,0,
Southampton,39,16,2018-2019,0,
Brighton,36,17,2018-2019,0,
Cardiff City,34,18,2018-2019,0,
Fulham,26,19,2018-2019,0,
Huddersfield,16,20,2018-2019,0,
Liverpool,99,1,2019-2020,0,
Manchester City,81,2,2019-2020,1,
Manchester Utd,66,3,2019-2020,0,
Chelsea,66,4,2019-2020,0,
Leicester City,62,5,2019-2020,0,
Tottenham,59,6,2019-2020,0,
Wolves,59,7,2019-2020,0,
Arsenal,56,8,2019-2020,0,
Sheffield Utd,54,9,2019-2020,0,
Burnley,54,10,2019-2020,0,
Southampton,52,11,2019-2020,0,
Everton,49,12,2019-2020,0,
Newcastle Utd,44,13,2019-2020,0,
Crystal Palace,43,14,2019-2020,0,
Brighton,41,15,2019-2020,0,
West Ham,39,16,2019-2020,0,
Aston Villa,35,17,2019-2020,0,
Bournemouth,34,18,2019-2020,0,
Watford,34,19,2019-2020,0,
Norwich City,21,20,2019-2020,0,
Manchester City,86,1,2020-2021,1,
Manchester Utd,74,2,2020-2021,0,
Liverpool,69,3,2020-2021,0,
Chelsea,67,4,2020-2021,0,
Leicester City,66,5,2020-2021,0,
West Ham,65,6,2020-2021,0,
Tottenham,62,7,2020-2021,0,
Arsenal,61,8,2020-2021,0,
Leeds United,59,9,2020-2021,0,
Everton,59,10,2020-2021,0,
Aston Villa,55,11,2020-2021,0,
Newcastle Utd,45,12,2020-2021,0,
Wolves,45,13,2020-2021,0,
Crystal Palace,44,14,2020-2021,0,
Southampton,43,15,2020-2021,0,
Brighton,41,16,2020-2021,0,
Burnley,39,17,2020-2021,0,
Fulham,28,18,2020-2021,0,
West Brom,26,19,2020-2021,0,
Sheffield Utd,23,20,2020-2021,0,
Manchester City,93,1,2021-2022,1,
Liverpool,92,2,2021-2022,0,
Chelsea,74,3,2021-2022,0,
Tottenham,71,4,2021-2022,0,
Arsenal,69,5,2021-2022,0,
Manchester Utd,58,6,2021-2022,0,
West Ham,56,7,2021-2022,0,
Leicester City,52,8,2021-2022,0,
Brighton,51,9,2021-2022,0,
Wolves,51,10,2021-2022,0,
Newcastle Utd,49,11,2021-2022,0,
Crystal Palace,48,12,2021-2022,0,
Brentford,46,13,2021-2022,0,
Aston Villa,45,14,2021-2022,0,
Southampton,40,15,2021-2022,0,
Everton,39,16,2021-2022,0,
Leeds United,38,17,2021-2022,0,
Burnley,35,18,2021-2022,0,
Watford,23,19,2021-2022,0,
Norwich City,22,20,2021-2022,0,
Manchester City,89,1,2022-2023,1,
Arsenal,84,2,2022-2023,0,
Manchester Utd,75,3,2022-2023,0,
Newcastle Utd,71,4,2022-2023,0,
Liverpool,67,5,2022-2023,0,
Brighton,62,6,2022-2023,0,
Aston Villa,61,7,2022-2023,0,
Tottenham,60,8,2022-2023,0,
Brentford,59,9,2022-2023,0,
Fulham,52,10,2022-2023,0,
Crystal Palace,45,11,2022-2023,0,
Chelsea,44,12,2022-2023,0,
Wolves,41,13,2022-2023,0,
West Ham,40,14,2022-2023,0,
Bournemouth,39,15,2022-2023,0,
Nott'ham Forest,38,16,2022-2023,0,
Everton,36,17,2022-2023,0,
Leicester City,34,18,2022-2023,0,
Leeds United,31,19,2022-2023,0,
Southampton,25,20,2022-2023,0,
Manchester City,91,1,2023-2024,0,
Arsenal,89,2,2023-2024,0,
Liverpool,82,3,2023-2024,0,
Aston Villa,68,4,2023-2024,0,
Tottenham,66,5,2023-2024,0,
Chelsea,63,6,2023-2024,0,
Newcastle Utd,60,7,2023-2024,0,
Manchester Utd,60,8,2023-2024,0,
West Ham,52,9,2023-2024,0,
Crystal Palace,49,10,2023-2024,0,
Brighton,48,11,2023-2024,0,
Bournemouth,48,12,2023-2024,0,
Fulham,47,13,2023-2024,0,
Wolves,46,14,2023-2024,0,
Everton,40,15,2023-2024,0,
Brentford,39,16,2023-2024,0,
Nott'ham Forest,32,17,2023-2024,0,
Luton Town,26,18,2023-2024,0,
Burnley,24,19,2023-2024,0,
Sheffield Utd,16,20,2023-2024,0,
